much	negative:-4.9485655646877005	positive:-4.9126872770227985
off-ramp	negative:-9.630037062331072	positive:-10.323184242891017
collision	negative:-9.630037062331072	positive:-10.323184242891017
steering	negative:-9.630037062331072	positive:-10.323184242891017
windshield.	negative:-9.630037062331072	positive:-10.323184242891017
subdue	negative:-9.630037062331072	positive:-10.323184242891017
sized	negative:-9.630069924098052	positive:-9.630069924098052
weakened	negative:-9.630037062331072	positive:-10.323184242891017
gash	negative:-9.630037062331072	positive:-10.323184242891017
kidnapper	negative:-9.630037062331072	positive:-10.323184242891017
cahoots	negative:-9.630037062331072	positive:-10.323184242891017
windshield	negative:-9.630037062331072	positive:-10.323184242891017
legged	negative:-9.630037062331072	positive:-10.323184242891017
defended	negative:-9.630037062331072	positive:-10.323184242891017
distress	negative:-9.224637676677007	positive:-9.630102784785171
savior	negative:-9.630037062331072	positive:-10.323184242891017
vomited	negative:-9.630037062331072	positive:-10.323184242891017
damsels	negative:-9.630037062331072	positive:-10.323184242891017
USAFFE	negative:-9.630037062331072	positive:-10.323184242891017
condescending	negative:-9.630069924098052	positive:-9.630069924098052
papa	negative:-9.630037062331072	positive:-10.323184242891017
Forces	negative:-9.630037062331072	positive:-10.323184242891017
Leyte	negative:-9.630037062331072	positive:-10.323184242891017
East	negative:-9.224604815989887	positive:-10.323217104657997
preparations	negative:-9.630037062331072	positive:-10.323184242891017
Corregidor	negative:-9.630037062331072	positive:-10.323184242891017
sam	negative:-9.630037062331072	positive:-10.323184242891017
Macarthur	negative:-9.630037062331072	positive:-10.323184242891017
incapable	negative:-8.937021322360168	positive:-9.22470339481195
Filipinos	negative:-9.630037062331072	positive:-10.323184242891017
invigorated	negative:-9.630037062331072	positive:-10.323184242891017
Armed	negative:-9.630037062331072	positive:-10.323184242891017
gulf	negative:-9.630037062331072	positive:-10.323184242891017
Bataan	negative:-9.630037062331072	positive:-10.323184242891017
integrated	negative:-9.630069924098052	positive:-9.630069924098052
IMDb.com	negative:-10.323184242891017	positive:-9.630037062331072
paragraph.We	negative:-10.323184242891017	positive:-9.630037062331072
HTML	negative:-10.323184242891017	positive:-9.630037062331072
Statement	negative:-10.323184242891017	positive:-9.630037062331072
Copyright	negative:-10.323184242891017	positive:-9.630037062331072
registration	negative:-10.323184242891017	positive:-9.630037062331072
agreeing	negative:-10.323184242891017	positive:-9.630037062331072
click	negative:-9.630102784785171	positive:-9.224637676677007
inserted	negative:-9.630069924098052	positive:-9.630069924098052
mark-up	negative:-10.323184242891017	positive:-9.630037062331072
e-mail	negative:-10.323184242891017	positive:-9.630037062331072
orderly	negative:-9.630037062331072	positive:-10.323184242891017
go-motion	negative:-9.630037062331072	positive:-10.323184242891017
Warriors.	negative:-9.630037062331072	positive:-10.323184242891017
jackets	negative:-9.630037062331072	positive:-10.323184242891017
worm-like	negative:-9.630037062331072	positive:-10.323184242891017
overshadows	negative:-9.630037062331072	positive:-10.323184242891017
hysteria.	negative:-9.630037062331072	positive:-10.323184242891017
Ouch.	negative:-9.630037062331072	positive:-10.323184242891017
falters	negative:-9.630037062331072	positive:-10.323184242891017
nice-guy	negative:-9.630037062331072	positive:-10.323184242891017
tendons	negative:-9.630037062331072	positive:-10.323184242891017
Mohawk	negative:-9.630037062331072	positive:-10.323184242891017
foot-high	negative:-9.630037062331072	positive:-10.323184242891017
denim	negative:-9.630037062331072	positive:-10.323184242891017
trance	negative:-9.630037062331072	positive:-10.323184242891017
Langenkamp	negative:-9.630037062331072	positive:-10.323184242891017
gigantic	negative:-9.630069924098052	positive:-9.630069924098052
bottoms	negative:-9.630037062331072	positive:-10.323184242891017
bend	negative:-9.630037062331072	positive:-10.323184242891017
stern	negative:-9.630037062331072	positive:-10.323184242891017
junkyard	negative:-9.630102784785171	positive:-9.224637676677007
uncooperative	negative:-9.630037062331072	positive:-10.323184242891017
punishes	negative:-9.630037062331072	positive:-10.323184242891017
maniacs	negative:-9.630102784785171	positive:-9.224637676677007
jean	negative:-9.630037062331072	positive:-10.323184242891017
collectively	negative:-9.630037062331072	positive:-10.323184242891017
slit	negative:-9.224637676677007	positive:-9.630102784785171
bathroom	negative:-9.630135644392501	positive:-8.936988463832558
wrists	negative:-8.936955604225226	positive:-10.323249965345116
accommodating	negative:-9.630037062331072	positive:-10.323184242891017
fathered	negative:-9.630037062331072	positive:-10.323184242891017
invariably	negative:-9.630037062331072	positive:-10.323184242891017
frayed	negative:-9.630037062331072	positive:-10.323184242891017
groan-inducing	negative:-9.630037062331072	positive:-10.323184242891017
Fishburne	negative:-9.224637676677007	positive:-9.630102784785171
Daisy	negative:-9.630069924098052	positive:-9.630069924098052
Dukes	negative:-9.630069924098052	positive:-9.630069924098052
peek	negative:-9.630037062331072	positive:-10.323184242891017
bounds	negative:-9.630037062331072	positive:-10.323184242891017
Dewaere	negative:-10.323184242891017	positive:-9.630037062331072
empowerment	negative:-10.323184242891017	positive:-9.630037062331072
Froid	negative:-10.323184242891017	positive:-9.630037062331072
seventies/eighties	negative:-10.323184242891017	positive:-9.630037062331072
Serie	negative:-10.323184242891017	positive:-9.630037062331072
Noire	negative:-10.323184242891017	positive:-9.630037062331072
Buffet	negative:-10.323217104657997	positive:-9.224604815989887
Pere	negative:-10.323217104657997	positive:-9.224604815989887
waltz	negative:-9.630069924098052	positive:-9.630069924098052
Blier.	negative:-10.323184242891017	positive:-9.630037062331072
Beau	negative:-10.323217104657997	positive:-9.224604815989887
SOCKETS	negative:-9.630037062331072	positive:-10.323184242891017
Boreanaz	negative:-9.630069924098052	positive:-9.630069924098052
Pants	negative:-9.630037062331072	positive:-10.323184242891017
BLEED	negative:-9.630037062331072	positive:-10.323184242891017
Crap	negative:-9.630037062331072	positive:-10.323184242891017
Drama/Feel	negative:-10.323184242891017	positive:-9.630037062331072
grreat	negative:-10.323184242891017	positive:-9.630037062331072
RAdio	negative:-10.323184242891017	positive:-9.630037062331072
spies	negative:-9.224604815989887	positive:-10.323217104657997
queries	negative:-9.630037062331072	positive:-10.323184242891017
rubbed	negative:-9.630037062331072	positive:-10.323184242891017
noses	negative:-9.630069924098052	positive:-9.630069924098052
freshness	negative:-9.630069924098052	positive:-9.630069924098052
One-note	negative:-9.630037062331072	positive:-10.323184242891017
perky	negative:-9.224604815989887	positive:-10.323217104657997
memorizing	negative:-9.630037062331072	positive:-10.323184242891017
pursues	negative:-9.630069924098052	positive:-9.630069924098052
salvages	negative:-9.630037062331072	positive:-10.323184242891017
roomful	negative:-9.630037062331072	positive:-10.323184242891017
day-dream	negative:-9.630037062331072	positive:-10.323184242891017
pinning	negative:-9.630037062331072	positive:-10.323184242891017
feminists	negative:-9.630037062331072	positive:-10.323184242891017
super-bait	negative:-9.630037062331072	positive:-10.323184242891017
slender	negative:-9.630037062331072	positive:-10.323184242891017
dentures	negative:-9.630037062331072	positive:-10.323184242891017
lecture	negative:-9.630102784785171	positive:-9.224637676677007
overdose	negative:-9.224604815989887	positive:-10.323217104657997
Department	negative:-9.630037062331072	positive:-10.323184242891017
Lyn	negative:-9.630037062331072	positive:-10.323184242891017
Ensemble	negative:-9.630037062331072	positive:-10.323184242891017
Negro	negative:-9.630037062331072	positive:-10.323184242891017
pompous	negative:-9.630069924098052	positive:-9.630069924098052
Earl	negative:-9.630069924098052	positive:-9.630069924098052
Ossie	negative:-9.630037062331072	positive:-10.323184242891017
romanticizing	negative:-9.630037062331072	positive:-10.323184242891017
Kitt	negative:-9.630037062331072	positive:-10.323184242891017
Lawson	negative:-9.630037062331072	positive:-10.323184242891017
Cuttrell	negative:-9.630037062331072	positive:-10.323184242891017
on-hand	negative:-9.630037062331072	positive:-10.323184242891017
trolling	negative:-9.630037062331072	positive:-10.323184242891017
Eartha	negative:-9.630037062331072	positive:-10.323184242891017
Rice	negative:-9.630037062331072	positive:-10.323184242891017
Ooh	negative:-9.224604815989887	positive:-10.323217104657997
Vereen	negative:-9.630037062331072	positive:-10.323184242891017
seamy	negative:-9.630037062331072	positive:-10.323184242891017
Jasmine	negative:-9.630037062331072	positive:-10.323184242891017
privilege	negative:-9.224604815989887	positive:-10.323217104657997
Bianca	negative:-9.630037062331072	positive:-10.323184242891017
scarcely	negative:-9.630037062331072	positive:-10.323184242891017
cloying	negative:-9.630037062331072	positive:-10.323184242891017
NewOrleans	negative:-9.630037062331072	positive:-10.323184242891017
gorge	negative:-9.630037062331072	positive:-10.323184242891017
ponderous	negative:-9.630037062331072	positive:-10.323184242891017
affiliated	negative:-9.224604815989887	positive:-10.323217104657997
clad	negative:-8.713844912518347	positive:-10.323282824952447
camels	negative:-9.630037062331072	positive:-10.323184242891017
Middle	negative:-9.22470339481195	positive:-8.937021322360168
cross-cultural	negative:-9.630037062331072	positive:-10.323184242891017
brick	negative:-9.630037062331072	positive:-10.323184242891017
sketched	negative:-9.630037062331072	positive:-10.323184242891017
robes	negative:-9.630037062331072	positive:-10.323184242891017
K	negative:-9.224637676677007	positive:-9.630102784785171
non-sense	negative:-9.630037062331072	positive:-10.323184242891017
Higson	negative:-9.630037062331072	positive:-10.323184242891017
McKenna	negative:-9.224604815989887	positive:-10.323217104657997
muscle	negative:-9.630069924098052	positive:-9.630069924098052
Wuhrer	negative:-9.630037062331072	positive:-10.323184242891017
damned	negative:-9.224637676677007	positive:-9.630102784785171
loose-ends	negative:-9.630037062331072	positive:-10.323184242891017
snapped	negative:-9.630037062331072	positive:-10.323184242891017
accountant	negative:-9.630069924098052	positive:-9.630069924098052
boob	negative:-9.630037062331072	positive:-10.323184242891017
Livingston	negative:-9.630037062331072	positive:-10.323184242891017
ridiculous.	negative:-9.224604815989887	positive:-10.323217104657997
10-day	negative:-9.630037062331072	positive:-10.323184242891017
strategy	negative:-9.630102784785171	positive:-9.224637676677007
desperate-for-	negative:-9.630037062331072	positive:-10.323184242891017
money.	negative:-9.630037062331072	positive:-10.323184242891017
Crawley	negative:-9.630037062331072	positive:-10.323184242891017
DUMBER	negative:-9.630037062331072	positive:-10.323184242891017
13k	negative:-9.630037062331072	positive:-10.323184242891017
descent	negative:-9.630037062331072	positive:-10.323184242891017
Kari	negative:-9.630037062331072	positive:-10.323184242891017
stripped	negative:-9.224604815989887	positive:-10.323217104657997
painter	negative:-9.630069924098052	positive:-9.630069924098052
Matthews	negative:-9.630037062331072	positive:-10.323184242891017
contractor	negative:-9.630037062331072	positive:-10.323184242891017
lotta	negative:-9.630037062331072	positive:-10.323184242891017
leverage	negative:-9.630037062331072	positive:-10.323184242891017
Wendt	negative:-9.630037062331072	positive:-10.323184242891017
investigated	negative:-9.630037062331072	positive:-10.323184242891017
Cheers	negative:-8.936988463832558	positive:-9.630135644392501
one-third	negative:-9.630037062331072	positive:-10.323184242891017
every-single-scene	negative:-9.630037062331072	positive:-10.323184242891017
overlaid	negative:-9.630037062331072	positive:-10.323184242891017
Asians	negative:-9.630037062331072	positive:-10.323184242891017
unpredictability	negative:-9.630037062331072	positive:-10.323184242891017
from-behind	negative:-9.630037062331072	positive:-10.323184242891017
savagery	negative:-9.630037062331072	positive:-10.323184242891017
tetanus.	negative:-9.630037062331072	positive:-10.323184242891017
fluorescent	negative:-9.630037062331072	positive:-10.323184242891017
half-way	negative:-9.630037062331072	positive:-10.323184242891017
tungsten	negative:-9.630037062331072	positive:-10.323184242891017
Unleashed	negative:-9.630037062331072	positive:-10.323184242891017
Shakespearean	negative:-9.630037062331072	positive:-10.323184242891017
